user_id,product_id,last_product_order_ts,last_purchase_days_ago,avg_replenishment_days,mock_inventory,overdue_ratio,R_score,F_score,M_score,rfm_segment,risk_id
202,46842,2023-10-17,75,30.0,116,2.5,5,1,1,New / Promising,job_0a1725f1:202:46842
202,41276,2023-10-17,75,30.0,143,2.5,5,1,1,New / Promising,job_0a1725f1:202:41276
202,39758,2023-10-17,75,30.0,266,2.5,5,1,1,New / Promising,job_0a1725f1:202:39758
202,34862,2023-10-17,75,30.0,184,2.5,5,1,1,New / Promising,job_0a1725f1:202:34862
202,32645,2023-10-17,75,30.0,137,2.5,5,1,1,New / Promising,job_0a1725f1:202:32645
202,27761,2023-10-17,75,30.0,486,2.5,5,1,1,New / Promising,job_0a1725f1:202:27761
202,25146,2023-10-17,75,30.0,144,2.5,5,1,1,New / Promising,job_0a1725f1:202:25146
202,21351,2023-10-17,75,30.0,198,2.5,5,1,1,New / Promising,job_0a1725f1:202:21351
202,17616,2023-10-17,75,30.0,383,2.5,5,1,1,New / Promising,job_0a1725f1:202:17616
202,10054,2023-10-17,75,30.0,292,2.5,5,1,1,New / Promising,job_0a1725f1:202:10054
201,9327,2023-10-25,67,30.0,301,2.23,1,5,5,High-Value At-Risk,job_0a1725f1:201:9327
201,1819,2023-10-25,67,30.0,450,2.23,1,5,5,High-Value At-Risk,job_0a1725f1:201:1819
201,43668,2023-10-25,67,30.0,343,2.23,1,5,5,High-Value At-Risk,job_0a1725f1:201:43668
201,40141,2023-10-25,67,30.0,424,2.23,1,5,5,High-Value At-Risk,job_0a1725f1:201:40141
201,33120,2023-10-25,67,30.0,98,2.23,1,5,5,High-Value At-Risk,job_0a1725f1:201:33120
201,30035,2023-10-25,67,30.0,496,2.23,1,5,5,High-Value At-Risk,job_0a1725f1:201:30035
201,28985,2023-10-25,67,30.0,309,2.23,1,5,5,High-Value At-Risk,job_0a1725f1:201:28985
201,45918,2023-10-25,67,30.0,265,2.23,1,5,5,High-Value At-Risk,job_0a1725f1:201:45918
201,46667,2023-11-09,52,30.0,257,1.73,1,5,5,High-Value At-Risk,job_0a1725f1:201:46667
201,33754,2023-11-09,52,30.0,381,1.73,1,5,5,High-Value At-Risk,job_0a1725f1:201:33754
201,32665,2023-11-09,52,30.0,101,1.73,1,5,5,High-Value At-Risk,job_0a1725f1:201:32665
201,24838,2023-11-09,52,30.0,316,1.73,1,5,5,High-Value At-Risk,job_0a1725f1:201:24838
201,17668,2023-11-09,52,30.0,328,1.73,1,5,5,High-Value At-Risk,job_0a1725f1:201:17668
201,17461,2023-11-09,52,30.0,418,1.73,1,5,5,High-Value At-Risk,job_0a1725f1:201:17461
