user_id,total_orders,recency_days,m_proxy_value,as_of_date,R_score,F_score,M_score,RFM_Cell,rfm_segment
1,11,40,59,2023-12-31,2,3,2,232,Average Purchaser
2,15,5,195,2023-12-31,5,4,4,544,Champion / Loyal
3,13,30,88,2023-12-31,3,3,3,333,Need Attention
4,6,17,18,2023-12-31,4,2,1,421,New / Promising
5,5,47,37,2023-12-31,2,1,2,212,Low-Value / Lost
6,4,0,14,2023-12-31,5,1,1,511,New / Promising
7,21,51,206,2023-12-31,1,4,4,144,High-Value At-Risk
8,4,13,49,2023-12-31,4,1,2,412,New / Promising
9,4,26,76,2023-12-31,3,1,3,313,Need Attention
10,6,0,143,2023-12-31,5,2,4,524,New / Promising
11,8,15,94,2023-12-31,4,2,3,423,New / Promising
12,6,31,74,2023-12-31,3,2,3,323,Need Attention
13,13,4,81,2023-12-31,5,3,3,533,Average Purchaser
14,14,41,210,2023-12-31,2,4,4,244,High-Value At-Risk
15,23,43,72,2023-12-31,2,4,3,243,High-Value At-Risk
16,7,48,70,2023-12-31,2,2,3,223,Average Purchaser
17,41,50,294,2023-12-31,1,5,5,155,High-Value At-Risk
18,7,12,39,2023-12-31,5,2,2,522,New / Promising
19,10,9,204,2023-12-31,5,3,4,534,Average Purchaser
20,5,36,22,2023-12-31,3,1,1,311,Average Purchaser
21,34,28,205,2023-12-31,3,5,4,354,Need Attention
22,16,50,69,2023-12-31,1,4,3,143,High-Value At-Risk
23,5,52,40,2023-12-31,1,1,2,112,Low-Value / Lost
24,19,43,38,2023-12-31,2,4,2,242,High-Value At-Risk
25,4,10,21,2023-12-31,5,1,1,511,New / Promising
26,13,9,56,2023-12-31,5,3,2,532,Average Purchaser
27,82,28,768,2023-12-31,3,5,5,355,Need Attention
28,25,32,183,2023-12-31,3,5,4,354,Need Attention
29,19,27,225,2023-12-31,3,4,4,344,Need Attention
30,9,59,11,2023-12-31,1,3,1,131,Average Purchaser
31,21,24,299,2023-12-31,4,4,5,445,Champion / Loyal
32,6,20,114,2023-12-31,4,2,4,424,New / Promising
33,4,53,53,2023-12-31,1,1,2,112,Low-Value / Lost
34,6,1,32,2023-12-31,5,2,1,521,New / Promising
35,10,55,184,2023-12-31,1,3,4,134,High-Value At-Risk
36,38,43,153,2023-12-31,2,5,4,254,High-Value At-Risk
37,24,16,188,2023-12-31,4,4,4,444,Champion / Loyal
38,13,22,195,2023-12-31,4,3,4,434,Average Purchaser
39,8,12,141,2023-12-31,5,2,4,524,New / Promising
40,10,38,104,2023-12-31,2,3,3,233,Average Purchaser
41,6,51,65,2023-12-31,1,2,3,123,Average Purchaser
42,17,4,133,2023-12-31,5,4,4,544,Champion / Loyal
43,12,58,147,2023-12-31,1,3,4,134,High-Value At-Risk
44,4,47,37,2023-12-31,2,1,2,212,Low-Value / Lost
45,5,36,18,2023-12-31,3,1,1,311,Average Purchaser
46,20,57,157,2023-12-31,1,4,4,144,High-Value At-Risk
47,6,3,26,2023-12-31,5,2,1,521,New / Promising
48,11,51,113,2023-12-31,1,3,3,133,Average Purchaser
49,9,57,47,2023-12-31,1,3,2,132,Average Purchaser
50,68,9,453,2023-12-31,5,5,5,555,Champion / Loyal
51,4,6,29,2023-12-31,5,1,1,511,New / Promising
52,28,25,169,2023-12-31,3,5,4,354,Need Attention
53,4,18,35,2023-12-31,4,1,2,412,New / Promising
54,78,22,619,2023-12-31,4,5,5,455,Champion / Loyal
55,8,29,87,2023-12-31,3,2,3,323,Need Attention
56,13,42,145,2023-12-31,2,3,4,234,High-Value At-Risk
57,15,51,72,2023-12-31,1,4,3,143,High-Value At-Risk
58,16,17,97,2023-12-31,4,4,3,443,Average Purchaser
59,11,52,92,2023-12-31,1,3,3,133,Average Purchaser
60,9,19,67,2023-12-31,4,3,3,433,Average Purchaser
61,5,1,87,2023-12-31,5,1,3,513,New / Promising
62,11,28,80,2023-12-31,3,3,3,333,Need Attention
63,40,26,504,2023-12-31,3,5,5,355,Need Attention
64,11,12,135,2023-12-31,5,3,4,534,Average Purchaser
65,15,36,132,2023-12-31,3,4,4,344,Need Attention
66,7,54,23,2023-12-31,1,2,1,121,Low-Value / Lost
67,25,20,81,2023-12-31,4,5,3,453,Average Purchaser
68,7,16,70,2023-12-31,4,2,3,423,New / Promising
69,6,39,50,2023-12-31,2,2,2,222,Low-Value / Lost
70,14,21,104,2023-12-31,4,4,3,443,Average Purchaser
71,24,41,437,2023-12-31,2,4,5,245,High-Value At-Risk
72,13,28,47,2023-12-31,3,3,2,332,Need Attention
73,8,44,24,2023-12-31,2,2,1,221,Low-Value / Lost
74,6,56,48,2023-12-31,1,2,2,122,Low-Value / Lost
75,24,13,311,2023-12-31,4,4,5,445,Champion / Loyal
76,10,5,32,2023-12-31,5,3,1,531,Average Purchaser
77,13,21,203,2023-12-31,4,3,4,434,Average Purchaser
78,7,32,41,2023-12-31,3,2,2,322,Average Purchaser
79,8,37,93,2023-12-31,2,2,3,223,Average Purchaser
80,13,7,128,2023-12-31,5,3,4,534,Average Purchaser
81,8,29,27,2023-12-31,3,2,1,321,Average Purchaser
82,20,34,131,2023-12-31,3,4,4,344,Need Attention
83,7,9,39,2023-12-31,5,2,2,522,New / Promising
84,9,9,64,2023-12-31,5,3,3,533,Average Purchaser
85,8,21,30,2023-12-31,4,2,1,421,New / Promising
86,18,1,267,2023-12-31,5,4,5,545,Champion / Loyal
87,28,19,176,2023-12-31,4,5,4,454,Champion / Loyal
88,8,41,11,2023-12-31,2,2,1,221,Low-Value / Lost
89,21,11,239,2023-12-31,5,4,5,545,Champion / Loyal
90,72,54,670,2023-12-31,1,5,5,155,High-Value At-Risk
91,16,43,211,2023-12-31,2,4,4,244,High-Value At-Risk
92,6,21,20,2023-12-31,4,2,1,421,New / Promising
93,15,5,31,2023-12-31,5,4,1,541,Average Purchaser
94,10,8,56,2023-12-31,5,3,2,532,Average Purchaser
95,9,34,144,2023-12-31,3,3,4,334,Need Attention
96,17,59,143,2023-12-31,1,4,4,144,High-Value At-Risk
97,6,11,54,2023-12-31,5,2,2,522,New / Promising
98,15,45,50,2023-12-31,2,4,2,242,High-Value At-Risk
99,19,29,211,2023-12-31,3,4,4,344,Need Attention
100,6,37,27,2023-12-31,2,2,1,221,Low-Value / Lost
101,21,32,170,2023-12-31,3,4,4,344,Need Attention
102,7,3,59,2023-12-31,5,2,2,522,New / Promising
103,18,22,77,2023-12-31,4,4,3,443,Average Purchaser
104,6,47,18,2023-12-31,2,2,1,221,Low-Value / Lost
105,8,30,14,2023-12-31,3,2,1,321,Average Purchaser
106,4,32,41,2023-12-31,3,1,2,312,Average Purchaser
107,16,21,130,2023-12-31,4,4,4,444,Champion / Loyal
108,8,29,69,2023-12-31,3,2,3,323,Need Attention
109,7,38,69,2023-12-31,2,2,3,223,Average Purchaser
110,21,7,347,2023-12-31,5,4,5,545,Champion / Loyal
111,8,53,56,2023-12-31,1,2,2,122,Low-Value / Lost
112,27,54,158,2023-12-31,1,5,4,154,High-Value At-Risk
113,6,6,5,2023-12-31,5,2,1,521,New / Promising
114,5,36,66,2023-12-31,3,1,3,313,Need Attention
115,13,50,79,2023-12-31,1,3,3,133,Average Purchaser
116,7,30,25,2023-12-31,3,2,1,321,Average Purchaser
117,12,45,120,2023-12-31,2,3,4,234,High-Value At-Risk
118,28,15,165,2023-12-31,4,5,4,454,Champion / Loyal
119,4,37,22,2023-12-31,2,1,1,211,Low-Value / Lost
120,4,46,7,2023-12-31,2,1,1,211,Low-Value / Lost
121,11,28,55,2023-12-31,3,3,2,332,Need Attention
122,30,32,120,2023-12-31,3,5,4,354,Need Attention
123,11,14,63,2023-12-31,4,3,3,433,Average Purchaser
124,9,13,79,2023-12-31,4,3,3,433,Average Purchaser
125,14,38,182,2023-12-31,2,4,4,244,High-Value At-Risk
126,11,47,105,2023-12-31,2,3,3,233,Average Purchaser
127,18,2,305,2023-12-31,5,4,5,545,Champion / Loyal
128,12,29,91,2023-12-31,3,3,3,333,Need Attention
129,12,12,64,2023-12-31,5,3,3,533,Average Purchaser
130,4,21,37,2023-12-31,4,1,2,412,New / Promising
131,10,15,59,2023-12-31,4,3,2,432,Average Purchaser
132,25,49,116,2023-12-31,1,5,4,154,High-Value At-Risk
133,21,5,544,2023-12-31,5,4,5,545,Champion / Loyal
134,7,19,47,2023-12-31,4,2,2,422,New / Promising
135,5,30,26,2023-12-31,3,1,1,311,Average Purchaser
136,5,32,47,2023-12-31,3,1,2,312,Average Purchaser
137,7,40,72,2023-12-31,2,2,3,223,Average Purchaser
138,33,29,148,2023-12-31,3,5,4,354,Need Attention
139,5,51,14,2023-12-31,1,1,1,111,Low-Value / Lost
140,77,6,1151,2023-12-31,5,5,5,555,Champion / Loyal
141,5,28,41,2023-12-31,3,1,2,312,Average Purchaser
142,46,5,368,2023-12-31,5,5,5,555,Champion / Loyal
143,15,6,222,2023-12-31,5,4,4,544,Champion / Loyal
144,8,36,26,2023-12-31,3,2,1,321,Average Purchaser
145,9,5,67,2023-12-31,5,3,3,533,Average Purchaser
146,41,50,371,2023-12-31,1,5,5,155,High-Value At-Risk
147,14,31,63,2023-12-31,3,4,3,343,Need Attention
148,8,12,103,2023-12-31,5,2,3,523,New / Promising
149,16,50,228,2023-12-31,1,4,4,144,High-Value At-Risk
150,32,44,288,2023-12-31,2,5,5,255,High-Value At-Risk
151,12,46,164,2023-12-31,2,3,4,234,High-Value At-Risk
152,66,16,696,2023-12-31,4,5,5,455,Champion / Loyal
153,20,15,267,2023-12-31,4,4,5,445,Champion / Loyal
154,36,16,620,2023-12-31,4,5,5,455,Champion / Loyal
155,23,31,241,2023-12-31,3,4,5,345,Need Attention
156,4,5,18,2023-12-31,5,1,1,511,New / Promising
157,5,42,44,2023-12-31,2,1,2,212,Low-Value / Lost
158,6,19,31,2023-12-31,4,2,1,421,New / Promising
159,5,5,53,2023-12-31,5,1,2,512,New / Promising
160,13,52,265,2023-12-31,1,3,5,135,High-Value At-Risk
161,21,47,263,2023-12-31,2,4,5,245,High-Value At-Risk
162,15,10,87,2023-12-31,5,4,3,543,Average Purchaser
163,12,37,77,2023-12-31,2,3,3,233,Average Purchaser
