id,run_id,policy_version,action_type,parameter_value,policy_passed,expected_value_proxy,evidence,constraints_applied,llm_explanation
act_9bb8447e,run_v0_001,v0_baseline,DISCOUNT,0.15,True,8.85,"{""customer_id"": ""1"", ""product_id"": ""26088"", ""rfm_segment"": ""Average Purchaser"", ""overdue_ratio"": 14.33, ""inventory_level"": 136, ""gross_margin_pct"": 0.45}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 26088 replenishment is 1333% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (30%) and inventory is above floor."
act_2ed7b57c,run_v0_001,v0_baseline,DISCOUNT,0.15,True,29.25,"{""customer_id"": ""2"", ""product_id"": ""46676"", ""rfm_segment"": ""Champion / Loyal"", ""overdue_ratio"": 27.29, ""inventory_level"": 116, ""gross_margin_pct"": 0.46}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 46676 replenishment is 2629% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (31%) and inventory is above floor."
act_1d155a1c,run_v0_001,v0_baseline,DISCOUNT,0.15,True,13.2,"{""customer_id"": ""3"", ""product_id"": ""38596"", ""rfm_segment"": ""Need Attention"", ""overdue_ratio"": 15.0, ""inventory_level"": 104, ""gross_margin_pct"": 0.41}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 38596 replenishment is 1400% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (26%) and inventory is above floor."
act_80a02b76,run_v0_001,v0_baseline,NO_ACTION,0.0,False,2.7,"{""customer_id"": ""4"", ""product_id"": ""7350"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 17.0, ""inventory_level"": 433, ""gross_margin_pct"": 0.29}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.14)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_bb7dde43,run_v0_001,v0_baseline,DISCOUNT,0.15,True,5.55,"{""customer_id"": ""5"", ""product_id"": ""20754"", ""rfm_segment"": ""Low-Value / Lost"", ""overdue_ratio"": 6.0, ""inventory_level"": 188, ""gross_margin_pct"": 0.47}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 20754 replenishment is 500% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (32%) and inventory is above floor."
act_0b00e77e,run_v0_001,v0_baseline,NO_ACTION,0.0,False,2.1,"{""customer_id"": ""6"", ""product_id"": ""48679"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 3.08, ""inventory_level"": 338, ""gross_margin_pct"": 0.1}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.05)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_916f6527,run_v0_001,v0_baseline,NO_ACTION,0.0,False,30.9,"{""customer_id"": ""7"", ""product_id"": ""13249"", ""rfm_segment"": ""High-Value At-Risk"", ""overdue_ratio"": 20.0, ""inventory_level"": 360, ""gross_margin_pct"": 0.27}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.12)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_29af9e5a,run_v0_001,v0_baseline,DISCOUNT,0.15,True,7.35,"{""customer_id"": ""8"", ""product_id"": ""6473"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 5.53, ""inventory_level"": 335, ""gross_margin_pct"": 0.32}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 6473 replenishment is 453% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (17%) and inventory is above floor."
act_94225984,run_v0_001,v0_baseline,NO_ACTION,0.0,False,11.4,"{""customer_id"": ""9"", ""product_id"": ""33787"", ""rfm_segment"": ""Need Attention"", ""overdue_ratio"": 12.29, ""inventory_level"": 109, ""gross_margin_pct"": 0.14}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.01)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_b0d67036,run_v0_001,v0_baseline,DISCOUNT,0.15,True,21.45,"{""customer_id"": ""10"", ""product_id"": ""23165"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 9.88, ""inventory_level"": 120, ""gross_margin_pct"": 0.4}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 23165 replenishment is 888% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (25%) and inventory is above floor."
act_f8a7801e,run_v0_001,v0_baseline,NO_ACTION,0.0,False,14.1,"{""customer_id"": ""11"", ""product_id"": ""18465"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 11.17, ""inventory_level"": 121, ""gross_margin_pct"": 0.14}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.01)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_caa081e1,run_v0_001,v0_baseline,NO_ACTION,0.0,False,11.1,"{""customer_id"": ""12"", ""product_id"": ""21198"", ""rfm_segment"": ""Need Attention"", ""overdue_ratio"": 10.92, ""inventory_level"": 121, ""gross_margin_pct"": 0.21}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.06)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_06631ec3,run_v0_001,v0_baseline,NO_ACTION,0.0,False,12.15,"{""customer_id"": ""13"", ""product_id"": ""19474"", ""rfm_segment"": ""Average Purchaser"", ""overdue_ratio"": 5.86, ""inventory_level"": 142, ""gross_margin_pct"": 0.25}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.1)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_1c98a49f,run_v0_001,v0_baseline,NO_ACTION,0.0,False,31.5,"{""customer_id"": ""14"", ""product_id"": ""4210"", ""rfm_segment"": ""High-Value At-Risk"", ""overdue_ratio"": 25.0, ""inventory_level"": 443, ""gross_margin_pct"": 0.17}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.02)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_d4eb21de,run_v0_001,v0_baseline,NO_ACTION,0.0,False,10.8,"{""customer_id"": ""15"", ""product_id"": ""42862"", ""rfm_segment"": ""High-Value At-Risk"", ""overdue_ratio"": 17.47, ""inventory_level"": 200, ""gross_margin_pct"": 0.13}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.02)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_c899c40b,run_v0_001,v0_baseline,NO_ACTION,0.0,False,10.5,"{""customer_id"": ""16"", ""product_id"": ""44359"", ""rfm_segment"": ""Average Purchaser"", ""overdue_ratio"": 12.0, ""inventory_level"": 452, ""gross_margin_pct"": 0.12}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.03)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_f6f4802c,run_v0_001,v0_baseline,NO_ACTION,0.0,False,44.1,"{""customer_id"": ""17"", ""product_id"": ""38444"", ""rfm_segment"": ""High-Value At-Risk"", ""overdue_ratio"": 62.0, ""inventory_level"": 471, ""gross_margin_pct"": 0.11}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.04)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_9ba9e945,run_v0_001,v0_baseline,NO_ACTION,0.0,False,5.85,"{""customer_id"": ""18"", ""product_id"": ""40723"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 3.13, ""inventory_level"": 341, ""gross_margin_pct"": 0.13}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.02)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_b990c53d,run_v0_001,v0_baseline,DISCOUNT,0.15,True,30.6,"{""customer_id"": ""19"", ""product_id"": ""41319"", ""rfm_segment"": ""Average Purchaser"", ""overdue_ratio"": 7.25, ""inventory_level"": 62, ""gross_margin_pct"": 0.34}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 41319 replenishment is 625% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (19%) and inventory is above floor."
act_b4b19597,run_v0_001,v0_baseline,NO_ACTION,0.0,False,3.3,"{""customer_id"": ""20"", ""product_id"": ""6184"", ""rfm_segment"": ""Average Purchaser"", ""overdue_ratio"": 8.8, ""inventory_level"": 457, ""gross_margin_pct"": 0.26}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.11)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_8dbb5357,run_v0_001,v0_baseline,NO_ACTION,0.0,False,30.75,"{""customer_id"": ""21"", ""product_id"": ""38444"", ""rfm_segment"": ""Need Attention"", ""overdue_ratio"": 57.6, ""inventory_level"": 471, ""gross_margin_pct"": 0.11}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.04)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_9bb36776,run_v0_001,v0_baseline,NO_ACTION,0.0,False,10.35,"{""customer_id"": ""22"", ""product_id"": ""44359"", ""rfm_segment"": ""High-Value At-Risk"", ""overdue_ratio"": 20.08, ""inventory_level"": 452, ""gross_margin_pct"": 0.12}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.03)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_3bf40162,run_v0_001,v0_baseline,NO_ACTION,0.0,False,6.0,"{""customer_id"": ""23"", ""product_id"": ""4210"", ""rfm_segment"": ""Low-Value / Lost"", ""overdue_ratio"": 18.0, ""inventory_level"": 443, ""gross_margin_pct"": 0.17}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.02)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_9ec08715,run_v0_001,v0_baseline,DISCOUNT,0.15,True,5.7,"{""customer_id"": ""24"", ""product_id"": ""23423"", ""rfm_segment"": ""High-Value At-Risk"", ""overdue_ratio"": 11.5, ""inventory_level"": 338, ""gross_margin_pct"": 0.42}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 23423 replenishment is 1050% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (27%) and inventory is above floor."
act_01e6629f,run_v0_001,v0_baseline,DISCOUNT,0.15,True,3.15,"{""customer_id"": ""25"", ""product_id"": ""31225"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 6.25, ""inventory_level"": 195, ""gross_margin_pct"": 0.43}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 31225 replenishment is 525% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (28%) and inventory is above floor."
act_3e8d3d76,run_v0_001,v0_baseline,DISCOUNT,0.15,True,8.4,"{""customer_id"": ""26"", ""product_id"": ""45650"", ""rfm_segment"": ""Average Purchaser"", ""overdue_ratio"": 9.86, ""inventory_level"": 411, ""gross_margin_pct"": 0.42}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 45650 replenishment is 886% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (27%) and inventory is above floor."
act_2ae349ad,run_v0_001,v0_baseline,DISCOUNT,0.15,True,115.2,"{""customer_id"": ""27"", ""product_id"": ""33736"", ""rfm_segment"": ""Need Attention"", ""overdue_ratio"": 64.22, ""inventory_level"": 138, ""gross_margin_pct"": 0.31}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 33736 replenishment is 6322% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (16%) and inventory is above floor."
act_62e1edbb,run_v0_001,v0_baseline,DISCOUNT,0.15,True,27.45,"{""customer_id"": ""28"", ""product_id"": ""48105"", ""rfm_segment"": ""Need Attention"", ""overdue_ratio"": 17.17, ""inventory_level"": 115, ""gross_margin_pct"": 0.31}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 48105 replenishment is 1617% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (16%) and inventory is above floor."
