order_id,user_id,order_number,days_since_prior_order,order_ts
1187899,1,11,14.0,2023-11-21
2550362,1,10,30.0,2023-11-07
2295261,1,9,0.0,2023-10-08
3108588,1,8,14.0,2023-10-08
550135,1,7,20.0,2023-09-24
3367565,1,6,19.0,2023-09-04
431534,1,5,28.0,2023-08-16
2254736,1,4,29.0,2023-07-19
473747,1,3,21.0,2023-06-20
2398795,1,2,15.0,2023-05-30
2539329,1,1,0.0,2023-05-15
1492625,2,15,30.0,2023-12-26
839880,2,14,13.0,2023-11-26
3268552,2,13,30.0,2023-11-13
3186735,2,12,28.0,2023-10-14
1402090,2,11,30.0,2023-09-16
1447487,2,10,6.0,2023-08-17
1718559,2,9,8.0,2023-08-11
788338,2,8,27.0,2023-08-03
3194192,2,7,14.0,2023-07-07
1199898,2,6,13.0,2023-06-23
1673511,2,5,8.0,2023-06-10
738281,2,4,8.0,2023-06-02
1901567,2,3,3.0,2023-05-25
1501582,2,2,10.0,2023-05-22
2168274,2,1,0.0,2023-05-12
2774568,3,13,11.0,2023-12-01
1402502,3,12,15.0,2023-11-20
521107,3,11,11.0,2023-11-05
676467,3,10,17.0,2023-10-25
3160850,3,9,7.0,2023-10-08
3225766,3,8,7.0,2023-10-01
1839752,3,7,7.0,2023-09-24
1972919,3,6,7.0,2023-09-17
2710558,3,5,12.0,2023-09-10
2037211,3,4,20.0,2023-08-29
3002854,3,3,21.0,2023-08-09
444309,3,2,9.0,2023-07-19
1374495,3,1,0.0,2023-07-10
329954,4,6,30.0,2023-12-14
2557754,4,5,0.0,2023-11-14
94891,4,4,15.0,2023-11-14
691089,4,3,21.0,2023-10-30
2030307,4,2,19.0,2023-10-09
3343014,4,1,0.0,2023-09-20
2196797,5,5,6.0,2023-11-14
157374,5,4,19.0,2023-11-08
2267326,5,3,10.0,2023-10-20
1909121,5,2,11.0,2023-10-10
2717275,5,1,0.0,2023-09-29
1528013,6,4,22.0,2023-12-31
998866,6,3,12.0,2023-12-09
298250,6,2,6.0,2023-11-27
2086598,6,1,0.0,2023-11-21
525192,7,21,6.0,2023-11-10
2452257,7,20,7.0,2023-11-04
369015,7,19,3.0,2023-10-28
2984707,7,18,7.0,2023-10-25
23391,7,17,28.0,2023-10-18
2425840,7,16,11.0,2023-09-20
3120740,7,15,2.0,2023-09-09
3060817,7,14,17.0,2023-09-07
1175028,7,13,5.0,2023-08-21
3239072,7,12,7.0,2023-08-16
565870,7,11,6.0,2023-08-09
1396119,7,10,9.0,2023-08-03
2507052,7,9,4.0,2023-07-25
776265,7,8,8.0,2023-07-21
1014379,7,7,7.0,2023-07-13
1682003,7,6,10.0,2023-07-06
3321109,7,5,3.0,2023-06-26
1695742,7,4,9.0,2023-06-23
121053,7,3,30.0,2023-06-14
2402008,7,2,30.0,2023-05-15
2565571,7,1,0.0,2023-04-15
880375,8,4,10.0,2023-12-18
2570360,8,3,30.0,2023-12-08
2979257,8,2,30.0,2023-11-08
600894,8,1,0.0,2023-10-09
1094988,9,4,30.0,2023-12-05
1830137,9,3,30.0,2023-11-05
2762092,9,2,6.0,2023-10-06
280530,9,1,0.0,2023-09-30
1822501,10,6,30.0,2023-12-31
1353310,10,5,23.0,2023-12-01
83395,10,4,14.0,2023-11-08
2115522,10,3,12.0,2023-10-25
68288,10,2,30.0,2023-10-13
1224907,10,1,0.0,2023-09-13
1376945,11,8,8.0,2023-12-16
1468214,11,7,30.0,2023-12-08
790927,11,6,7.0,2023-11-08
2921164,11,5,30.0,2023-11-01
1611810,11,4,30.0,2023-10-02
2840752,11,3,14.0,2023-09-02
1170872,11,2,12.0,2023-08-19
2411567,11,1,0.0,2023-08-07
1356845,12,6,30.0,2023-11-30
221248,12,5,30.0,2023-10-31
1057378,12,4,26.0,2023-10-01
1916106,12,3,14.0,2023-09-05
1247527,12,2,30.0,2023-08-22
1483446,12,1,0.0,2023-07-23
1827621,13,13,8.0,2023-12-27
1789302,13,12,6.0,2023-12-19
1472646,13,11,8.0,2023-12-13
2298068,13,10,7.0,2023-12-05
519471,13,9,7.0,2023-11-28
1757094,13,8,13.0,2023-11-21
1906169,13,7,7.0,2023-11-08
2363981,13,6,7.0,2023-11-01
1378982,13,5,6.0,2023-10-25
19256,13,4,9.0,2023-10-19
2288946,13,3,6.0,2023-10-10
2560699,13,2,8.0,2023-10-04
2618231,13,1,0.0,2023-09-26
2316178,14,14,11.0,2023-11-20
3394109,14,13,7.0,2023-11-09
2045336,14,12,4.0,2023-11-02
1335295,14,11,25.0,2023-10-29
1625325,14,10,30.0,2023-10-04
2109666,14,9,30.0,2023-09-04
3067644,14,8,27.0,2023-08-05
2505309,14,7,30.0,2023-07-09
2127409,14,6,30.0,2023-06-09
1691859,14,5,30.0,2023-05-10
1385564,14,4,20.0,2023-04-10
1366559,14,3,2.0,2023-03-21
3206747,14,2,30.0,2023-03-19
2906263,14,1,0.0,2023-02-17
2161313,15,23,7.0,2023-11-18
487368,15,22,14.0,2023-11-11
2715276,15,21,7.0,2023-10-28
2994589,15,20,10.0,2023-10-21
2345592,15,19,3.0,2023-10-11
1911383,15,18,7.0,2023-10-08
1870022,15,17,8.0,2023-10-01
3097485,15,16,7.0,2023-09-23
2968173,15,15,7.0,2023-09-16
113728,15,14,14.0,2023-09-09
2332087,15,13,14.0,2023-08-26
2883598,15,12,6.0,2023-08-12
2600170,15,11,14.0,2023-08-06
2570697,15,10,21.0,2023-07-23
887727,15,9,7.0,2023-07-02
3119091,15,8,8.0,2023-06-25
2685110,15,7,17.0,2023-06-17
876095,15,6,8.0,2023-05-31
3317979,15,5,17.0,2023-05-23
714991,15,4,16.0,2023-05-06
2564002,15,3,7.0,2023-04-20
3135826,15,2,15.0,2023-04-13
2514324,15,1,0.0,2023-03-29
1416320,16,7,7.0,2023-11-13
2000615,16,6,26.0,2023-11-06
3192400,16,5,30.0,2023-10-11
2704482,16,4,12.0,2023-09-11
1491849,16,3,21.0,2023-08-30
875885,16,2,20.0,2023-08-09
1273676,16,1,0.0,2023-07-20
2180313,17,41,30.0,2023-11-11
3350883,17,40,27.0,2023-10-12
348137,17,39,11.0,2023-09-15
1385397,17,38,30.0,2023-09-04
2831726,17,37,13.0,2023-08-05
674977,17,36,30.0,2023-07-23
2773605,17,35,8.0,2023-06-23
791858,17,34,16.0,2023-06-15
2553089,17,33,9.0,2023-05-30
2760791,17,32,4.0,2023-05-21
3327122,17,31,5.0,2023-05-17
2148135,17,30,0.0,2023-05-12
697863,17,29,5.0,2023-05-12
3314059,17,28,4.0,2023-05-07
1385847,17,27,6.0,2023-05-03
343199,17,26,5.0,2023-04-27
2795254,17,25,6.0,2023-04-22
1683378,17,24,5.0,2023-04-16
3069802,17,23,4.0,2023-04-11
603376,17,22,4.0,2023-04-07
3141030,17,21,4.0,2023-04-03
415389,17,20,7.0,2023-03-30
2508834,17,19,6.0,2023-03-23
2956367,17,18,8.0,2023-03-17
601444,17,17,4.0,2023-03-09
1719551,17,16,6.0,2023-03-05
2660930,17,15,3.0,2023-02-27
603534,17,14,5.0,2023-02-24
1389057,17,13,6.0,2023-02-19
912404,17,12,5.0,2023-02-13
805025,17,11,4.0,2023-02-08
900554,17,10,4.0,2023-02-04
2373492,17,9,3.0,2023-01-31
2430354,17,8,6.0,2023-01-28
2648319,17,7,4.0,2023-01-22
2616505,17,6,5.0,2023-01-18
3237467,17,5,5.0,2023-01-13
3197376,17,4,5.0,2023-01-08
2680214,17,3,5.0,2023-01-03
1681401,17,2,3.0,2022-12-29
1737705,17,1,0.0,2022-12-26
2461523,18,7,7.0,2023-12-19
441977,18,6,4.0,2023-12-12
1020460,18,5,9.0,2023-12-08
3133044,18,4,6.0,2023-11-29
1860960,18,3,8.0,2023-11-23
3106101,18,2,1.0,2023-11-15
2780889,18,1,0.0,2023-11-14
1735923,19,10,8.0,2023-12-22
86918,19,9,8.0,2023-12-14
2483716,19,8,7.0,2023-12-06
532817,19,7,6.0,2023-11-29
2474845,19,6,20.0,2023-11-23
1973799,19,5,8.0,2023-11-03
2808909,19,4,5.0,2023-10-26
2208892,19,3,16.0,2023-10-21
2293453,19,2,6.0,2023-10-05
1321974,19,1,0.0,2023-09-29
1980631,20,5,30.0,2023-11-25
2741696,20,4,7.0,2023-10-26
3408319,20,3,6.0,2023-10-19
157550,20,2,2.0,2023-10-13
947722,20,1,0.0,2023-10-11
1854765,21,34,28.0,2023-12-03
3341737,21,33,30.0,2023-11-05
865324,21,32,12.0,2023-10-06
2057208,21,31,9.0,2023-09-24
2097221,21,30,6.0,2023-09-15
1110781,21,29,8.0,2023-09-09
1996394,21,28,5.0,2023-09-01
1735495,21,27,9.0,2023-08-27
497940,21,26,10.0,2023-08-18
1776467,21,25,7.0,2023-08-08
1322450,21,24,3.0,2023-08-01
2941505,21,23,6.0,2023-07-29
1431584,21,22,9.0,2023-07-23
1806047,21,21,7.0,2023-07-14
1413723,21,20,12.0,2023-07-07
77791,21,19,8.0,2023-06-25
1674891,21,18,21.0,2023-06-17
1953572,21,17,1.0,2023-05-27
774475,21,16,7.0,2023-05-26
3257456,21,15,7.0,2023-05-19
1082944,21,14,10.0,2023-05-12
2510446,21,13,4.0,2023-05-02
534401,21,12,21.0,2023-04-28
2102674,21,11,12.0,2023-04-07
1573906,21,10,6.0,2023-03-26
2592860,21,9,2.0,2023-03-20
3288630,21,8,18.0,2023-03-18
1716848,21,7,28.0,2023-02-28
2984916,21,6,4.0,2023-01-31
62373,21,5,7.0,2023-01-27
129152,21,4,14.0,2023-01-20
1166994,21,3,7.0,2023-01-06
2698037,21,2,7.0,2022-12-30
2625565,21,1,0.0,2022-12-23
139655,22,16,1.0,2023-11-11
2647850,22,15,30.0,2023-11-10
3090814,22,14,3.0,2023-10-11
1766930,22,13,5.0,2023-10-08
194741,22,12,2.0,2023-10-03
2780464,22,11,2.0,2023-10-01
3227049,22,10,5.0,2023-09-29
1014994,22,9,28.0,2023-09-24
634494,22,8,13.0,2023-08-27
2455079,22,7,5.0,2023-08-14
2327987,22,6,17.0,2023-08-09
3393222,22,5,16.0,2023-07-23
2922708,22,4,30.0,2023-07-07
1219654,22,3,4.0,2023-06-07
144358,22,2,30.0,2023-06-03
2300537,22,1,0.0,2023-05-04
3402036,23,5,30.0,2023-11-09
1072926,23,4,30.0,2023-10-10
1902489,23,3,5.0,2023-09-10
8382,23,2,9.0,2023-09-05
1792521,23,1,0.0,2023-08-27
965160,24,19,0.0,2023-11-18
173172,24,18,14.0,2023-11-18
196008,24,17,14.0,2023-11-04
2635041,24,16,7.0,2023-10-21
1368577,24,15,15.0,2023-10-14
1103927,24,14,4.0,2023-09-29
2586085,24,13,11.0,2023-09-25
2126098,24,12,22.0,2023-09-14
3320181,24,11,6.0,2023-08-23
3354579,24,10,18.0,2023-08-17
1640680,24,9,30.0,2023-07-30
3064712,24,8,8.0,2023-06-30
1415679,24,7,15.0,2023-06-22
816714,24,6,13.0,2023-06-07
118133,24,5,30.0,2023-05-25
2877797,24,4,24.0,2023-04-25
1511050,24,3,30.0,2023-04-01
1869748,24,2,3.0,2023-03-02
611214,24,1,0.0,2023-02-27
1411408,25,4,30.0,2023-12-21
258751,25,3,30.0,2023-11-21
2994388,25,2,30.0,2023-10-22
2610576,25,1,0.0,2023-09-22
2940603,26,13,8.0,2023-12-22
232721,26,12,7.0,2023-12-14
135696,26,11,8.0,2023-12-07
3350048,26,10,7.0,2023-11-29
2063028,26,9,14.0,2023-11-22
2923351,26,8,30.0,2023-11-08
2097636,26,7,30.0,2023-10-09
2827207,26,6,11.0,2023-09-09
2018734,26,5,8.0,2023-08-29
1798774,26,4,6.0,2023-08-21
1488077,26,3,7.0,2023-08-15
2284750,26,2,10.0,2023-08-08
3229714,26,1,0.0,2023-07-29
2614670,27,82,4.0,2023-12-03
1573122,27,81,6.0,2023-11-29
1837192,27,80,6.0,2023-11-23
2546638,27,79,5.0,2023-11-17
568636,27,78,4.0,2023-11-12
625018,27,77,7.0,2023-11-08
3276527,27,76,0.0,2023-11-01
264488,27,75,10.0,2023-11-01
2138705,27,74,7.0,2023-10-22
994572,27,73,4.0,2023-10-15
1225000,27,72,7.0,2023-10-11
2569634,27,71,5.0,2023-10-04
1250733,27,70,1.0,2023-09-29
2999232,27,69,0.0,2023-09-28
1560223,27,68,4.0,2023-09-28
1832360,27,67,4.0,2023-09-24
2325503,27,66,4.0,2023-09-20
804483,27,65,3.0,2023-09-16
2716757,27,64,5.0,2023-09-13
7099,27,63,1.0,2023-09-08
771049,27,62,1.0,2023-09-07
230851,27,61,4.0,2023-09-06
3146978,27,60,1.0,2023-09-02
1201330,27,59,5.0,2023-09-01
1615255,27,58,1.0,2023-08-27
1559403,27,57,1.0,2023-08-26
1025119,27,56,1.0,2023-08-25
2244394,27,55,5.0,2023-08-24
65724,27,54,2.0,2023-08-19
1149184,27,53,6.0,2023-08-17
682914,27,52,15.0,2023-08-11
933179,27,51,5.0,2023-07-27
3094422,27,50,1.0,2023-07-22
1067581,27,49,0.0,2023-07-21
1380270,27,48,1.0,2023-07-21
3359528,27,47,1.0,2023-07-20
419099,27,46,4.0,2023-07-19
3037479,27,45,2.0,2023-07-15
225381,27,44,4.0,2023-07-13
1849805,27,43,0.0,2023-07-09
1374792,27,42,0.0,2023-07-09
2392592,27,41,1.0,2023-07-09
3374715,27,40,3.0,2023-07-08
3176698,27,39,6.0,2023-07-05
1603399,27,38,1.0,2023-06-29
2005447,27,37,3.0,2023-06-28
920968,27,36,2.0,2023-06-25
129025,27,35,1.0,2023-06-23
2695034,27,34,5.0,2023-06-22
1666812,27,33,6.0,2023-06-17
3147283,27,32,10.0,2023-06-11
1194452,27,31,5.0,2023-06-01
1111867,27,30,1.0,2023-05-27
654294,27,29,0.0,2023-05-26
1641287,27,28,2.0,2023-05-26
1311494,27,27,17.0,2023-05-24
2305567,27,26,7.0,2023-05-07
338996,27,25,10.0,2023-04-30
3162630,27,24,0.0,2023-04-20
612679,27,23,6.0,2023-04-20
2729473,27,22,8.0,2023-04-14
1149132,27,21,8.0,2023-04-06
1060278,27,20,12.0,2023-03-29
900590,27,19,9.0,2023-03-17
3137551,27,18,20.0,2023-03-08
1523605,27,17,7.0,2023-02-16
2705360,27,16,8.0,2023-02-09
3247231,27,15,5.0,2023-02-01
1406911,27,14,8.0,2023-01-27
1659155,27,13,1.0,2023-01-19
1380784,27,12,3.0,2023-01-18
3141790,27,11,1.0,2023-01-15
3149167,27,10,7.0,2023-01-14
3317805,27,9,1.0,2023-01-07
1460681,27,8,1.0,2023-01-06
1771198,27,7,5.0,2023-01-05
2792524,27,6,9.0,2022-12-31
1007361,27,5,4.0,2022-12-22
2842504,27,4,2.0,2022-12-18
965677,27,3,1.0,2022-12-16
1662354,27,2,6.0,2022-12-15
361493,27,1,0.0,2022-12-09
1192143,28,25,8.0,2023-11-29
1978052,28,24,13.0,2023-11-21
2195945,28,23,6.0,2023-11-08
1818037,28,22,7.0,2023-11-02
1385910,28,21,1.0,2023-10-26
760273,28,20,10.0,2023-10-25
2070736,28,19,12.0,2023-10-15
979759,28,18,9.0,2023-10-03
181977,28,17,1.0,2023-09-24
1481969,28,16,1.0,2023-09-23
2810971,28,15,15.0,2023-09-22
279523,28,14,18.0,2023-09-07
1272493,28,13,11.0,2023-08-20
1819575,28,12,1.0,2023-08-09
2760669,28,11,30.0,2023-08-08
1639907,28,10,6.0,2023-07-09
1584053,28,9,30.0,2023-07-03
2695156,28,8,13.0,2023-06-03
2657750,28,7,6.0,2023-05-21
358148,28,6,14.0,2023-05-15
1432100,28,5,27.0,2023-05-01
1782508,28,4,17.0,2023-04-04
3331846,28,3,2.0,2023-03-18
1589342,28,2,19.0,2023-03-16
1138968,28,1,0.0,2023-02-25
3110252,29,19,13.0,2023-12-04
1647841,29,18,14.0,2023-11-21
1748639,29,17,11.0,2023-11-07
2376709,29,16,12.0,2023-10-27
3202175,29,15,16.0,2023-10-15
3090640,29,14,17.0,2023-09-29
620971,29,13,8.0,2023-09-12
1062536,29,12,13.0,2023-09-04
2865794,29,11,7.0,2023-08-22
3167222,29,10,13.0,2023-08-15
685887,29,9,9.0,2023-08-02
2655002,29,8,10.0,2023-07-24
1049206,29,7,10.0,2023-07-14
370715,29,6,11.0,2023-07-04
1207762,29,5,9.0,2023-06-23
2999889,29,4,11.0,2023-06-14
2657652,29,3,14.0,2023-06-03
875452,29,2,11.0,2023-05-20
2064090,29,1,0.0,2023-05-09
62370,30,9,22.0,2023-11-02
3333738,30,8,30.0,2023-10-11
137318,30,7,28.0,2023-09-11
2299885,30,6,27.0,2023-08-14
986094,30,5,30.0,2023-07-18
1645927,30,4,22.0,2023-06-18
3169631,30,3,7.0,2023-05-27
2156000,30,2,7.0,2023-05-20
375303,30,1,0.0,2023-05-13
280888,31,21,18.0,2023-12-07
1765409,31,20,0.0,2023-11-19
813240,31,19,4.0,2023-11-19
963053,31,18,0.0,2023-11-15
2231262,31,17,8.0,2023-11-15
2647083,31,16,8.0,2023-11-07
2258440,31,15,6.0,2023-10-30
2951746,31,14,6.0,2023-10-24
3035956,31,13,6.0,2023-10-18
673583,31,12,10.0,2023-10-12
2582407,31,11,5.0,2023-10-02
1593000,31,10,7.0,2023-09-27
3352995,31,9,3.0,2023-09-20
1120389,31,8,5.0,2023-09-17
1341128,31,7,2.0,2023-09-12
1183257,31,6,7.0,2023-09-10
2623412,31,5,4.0,2023-09-03
2135842,31,4,6.0,2023-08-30
638062,31,3,6.0,2023-08-24
695934,31,2,0.0,2023-08-18
2150649,31,1,0.0,2023-08-18
3202221,32,6,30.0,2023-12-11
1210985,32,5,30.0,2023-11-11
72626,32,4,1.0,2023-10-12
1709286,32,3,20.0,2023-10-11
1275838,32,2,30.0,2023-09-21
134879,32,1,0.0,2023-08-22
3222866,33,4,19.0,2023-11-08
1537903,33,3,30.0,2023-10-20
2612991,33,2,27.0,2023-09-20
2906103,33,1,0.0,2023-08-24
698604,34,6,30.0,2023-12-30
2344038,34,5,21.0,2023-11-30
1951139,34,4,10.0,2023-11-09
1916863,34,3,21.0,2023-10-30
1569834,34,2,28.0,2023-10-09
2383661,34,1,0.0,2023-09-11
707453,35,10,21.0,2023-11-06
2903057,35,9,28.0,2023-10-16
1316279,35,8,30.0,2023-09-18
3309528,35,7,4.0,2023-08-19
1830981,35,6,1.0,2023-08-15
2880466,35,5,30.0,2023-08-14
457048,35,4,22.0,2023-07-15
1136841,35,3,30.0,2023-06-23
2562704,35,2,26.0,2023-05-24
1269089,35,1,0.0,2023-04-28
1320132,36,38,3.0,2023-11-18
2710884,36,37,7.0,2023-11-15
182125,36,36,4.0,2023-11-08
1032510,36,35,15.0,2023-11-04
793311,36,34,10.0,2023-10-20
2230383,36,33,3.0,2023-10-10
2527665,36,32,8.0,2023-10-07
903277,36,31,10.0,2023-09-29
2693179,36,30,0.0,2023-09-19
1719560,36,29,3.0,2023-09-19
2795573,36,28,16.0,2023-09-16
1460684,36,27,16.0,2023-08-31
669187,36,26,6.0,2023-08-15
2138456,36,25,9.0,2023-08-09
1189699,36,24,5.0,2023-07-31
2671410,36,23,22.0,2023-07-26
2890966,36,22,3.0,2023-07-04
1185674,36,21,3.0,2023-07-01
2833188,36,20,25.0,2023-06-28
664952,36,19,3.0,2023-06-03
423623,36,18,18.0,2023-05-31
409708,36,17,11.0,2023-05-13
479244,36,16,5.0,2023-05-02
2640464,36,15,12.0,2023-04-27
3067639,36,14,22.0,2023-04-15
682472,36,13,20.0,2023-03-24
746041,36,12,9.0,2023-03-04
1145961,36,11,4.0,2023-02-23
14400,36,10,1.0,2023-02-19
278124,36,9,4.0,2023-02-18
2010389,36,8,4.0,2023-02-14
453864,36,7,15.0,2023-02-10
1626957,36,6,15.0,2023-01-26
2472897,36,5,3.0,2023-01-11
1602446,36,4,10.0,2023-01-08
240889,36,3,21.0,2022-12-29
412111,36,2,8.0,2022-12-08
3285797,36,1,0.0,2022-11-30
1524161,37,24,16.0,2023-12-15
1727614,37,23,6.0,2023-11-29
1294288,37,22,30.0,2023-11-23
3268585,37,21,13.0,2023-10-24
841710,37,20,9.0,2023-10-11
2326295,37,19,10.0,2023-10-02
2615608,37,18,15.0,2023-09-22
1179244,37,17,6.0,2023-09-07
1854906,37,16,5.0,2023-09-01
1751600,37,15,30.0,2023-08-27
1394419,37,14,20.0,2023-07-28
1740853,37,13,14.0,2023-07-08
712331,37,12,30.0,2023-06-24
2484696,37,11,8.0,2023-05-25
1736749,37,10,11.0,2023-05-17
1145920,37,9,17.0,2023-05-06
711999,37,8,23.0,2023-04-19
2568429,37,7,10.0,2023-03-27
484397,37,6,10.0,2023-03-17
2449761,37,5,8.0,2023-03-07
2153671,37,4,8.0,2023-02-27
1354506,37,3,8.0,2023-02-19
86313,37,2,4.0,2023-02-11
327827,37,1,0.0,2023-02-07
3173750,38,13,30.0,2023-12-09
2479273,38,12,30.0,2023-11-09
725451,38,11,9.0,2023-10-10
2980672,38,10,27.0,2023-10-01
3204829,38,9,7.0,2023-09-04
795223,38,8,28.0,2023-08-28
894015,38,7,28.0,2023-07-31
718156,38,6,13.0,2023-07-03
1244041,38,5,22.0,2023-06-20
1691300,38,4,20.0,2023-05-29
1588002,38,3,17.0,2023-05-09
1308004,38,2,30.0,2023-04-22
2873174,38,1,0.0,2023-03-23
882556,39,8,7.0,2023-12-19
2754717,39,7,30.0,2023-12-12
1493525,39,6,15.0,2023-11-12
859009,39,5,7.0,2023-10-28
524816,39,4,7.0,2023-10-21
127769,39,3,6.0,2023-10-14
971516,39,2,7.0,2023-10-08
2782479,39,1,0.0,2023-10-01
2431024,40,10,7.0,2023-11-23
1145465,40,9,14.0,2023-11-16
423262,40,8,7.0,2023-11-02
2215173,40,7,21.0,2023-10-26
2640967,40,6,15.0,2023-10-05
1132197,40,5,20.0,2023-09-20
2621404,40,4,8.0,2023-08-31
1469897,40,3,12.0,2023-08-23
2309440,40,2,8.0,2023-08-11
2570028,40,1,0.0,2023-08-03
2032076,41,6,30.0,2023-11-10
3083886,41,5,27.0,2023-10-11
2196695,41,4,22.0,2023-09-14
2838655,41,3,30.0,2023-08-23
2111787,41,2,24.0,2023-07-24
252244,41,1,0.0,2023-06-30
2803975,42,17,14.0,2023-12-27
3034563,42,16,14.0,2023-12-13
278626,42,15,30.0,2023-11-29
2204386,42,14,22.0,2023-10-30
1602489,42,13,9.0,2023-10-08
2083588,42,12,20.0,2023-09-29
2315446,42,11,19.0,2023-09-09
2019391,42,10,9.0,2023-08-21
521231,42,9,24.0,2023-08-12
378457,42,8,11.0,2023-07-19
232622,42,7,9.0,2023-07-08
1560102,42,6,13.0,2023-06-29
2848715,42,5,8.0,2023-06-16
77399,42,4,7.0,2023-06-08
19190,42,3,7.0,2023-06-01
1816335,42,2,6.0,2023-05-25
940313,42,1,0.0,2023-05-19
1864787,43,12,26.0,2023-11-03
2770903,43,11,9.0,2023-10-08
3094389,43,10,15.0,2023-09-29
2187180,43,9,3.0,2023-09-14
455561,43,8,15.0,2023-09-11
1630444,43,7,10.0,2023-08-27
2580647,43,6,4.0,2023-08-17
2412774,43,5,11.0,2023-08-13
634665,43,4,6.0,2023-08-02
656728,43,3,7.0,2023-07-27
1530871,43,2,24.0,2023-07-20
606677,43,1,0.0,2023-06-26
2436259,44,4,30.0,2023-11-14
2699868,44,3,30.0,2023-10-15
462713,44,2,30.0,2023-09-15
1359969,44,1,0.0,2023-08-16
2827745,45,5,3.0,2023-11-25
1902833,45,4,30.0,2023-11-22
374526,45,3,18.0,2023-10-23
784714,45,2,12.0,2023-10-05
300892,45,1,0.0,2023-09-23
1947848,46,20,11.0,2023-11-04
2009771,46,19,21.0,2023-10-24
2681913,46,18,22.0,2023-10-03
2661433,46,17,30.0,2023-09-11
1254066,46,16,21.0,2023-08-12
2596585,46,15,28.0,2023-07-22
1945511,46,14,14.0,2023-06-24
1876837,46,13,14.0,2023-06-10
2998652,46,12,14.0,2023-05-27
244623,46,11,7.0,2023-05-13
1538381,46,10,6.0,2023-05-06
3198849,46,9,14.0,2023-04-30
398975,46,8,21.0,2023-04-16
821110,46,7,28.0,2023-03-26
1406544,46,6,28.0,2023-02-26
2518161,46,5,30.0,2023-01-29
2539168,46,4,14.0,2022-12-30
3102839,46,3,0.0,2022-12-16
31801,46,2,7.0,2022-12-16
3345812,46,1,0.0,2022-12-09
2906490,47,6,16.0,2023-12-28
1899315,47,5,14.0,2023-12-12
2201188,47,4,12.0,2023-11-28
2532123,47,3,5.0,2023-11-16
1303645,47,2,1.0,2023-11-11
2857489,47,1,0.0,2023-11-10
2924697,48,11,14.0,2023-11-10
555834,48,10,14.0,2023-10-27
3067391,48,9,13.0,2023-10-13
795269,48,8,14.0,2023-09-30
749250,48,7,29.0,2023-09-16
1657641,48,6,27.0,2023-08-18
