id,run_id,policy_version,action_type,parameter_value,policy_passed,expected_value_proxy,evidence,constraints_applied,llm_explanation
act_908d93c8,run_v0_001,v0_baseline,DISCOUNT,0.15,True,8.85,"{""customer_id"": ""1"", ""product_id"": ""26088"", ""rfm_segment"": ""Average Purchaser"", ""overdue_ratio"": 14.33, ""inventory_level"": 136, ""gross_margin_pct"": 0.45}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 26088 replenishment is 1333% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (30%) and inventory is above floor."
act_3f2a7f63,run_v0_001,v0_baseline,DISCOUNT,0.15,True,29.25,"{""customer_id"": ""2"", ""product_id"": ""46676"", ""rfm_segment"": ""Champion / Loyal"", ""overdue_ratio"": 27.29, ""inventory_level"": 116, ""gross_margin_pct"": 0.46}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 46676 replenishment is 2629% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (31%) and inventory is above floor."
act_0b3b9583,run_v0_001,v0_baseline,DISCOUNT,0.15,True,13.2,"{""customer_id"": ""3"", ""product_id"": ""38596"", ""rfm_segment"": ""Need Attention"", ""overdue_ratio"": 15.0, ""inventory_level"": 104, ""gross_margin_pct"": 0.41}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 38596 replenishment is 1400% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (26%) and inventory is above floor."
act_d1c617a8,run_v0_001,v0_baseline,NO_ACTION,0.0,False,2.7,"{""customer_id"": ""4"", ""product_id"": ""7350"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 17.0, ""inventory_level"": 433, ""gross_margin_pct"": 0.29}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.14)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_cc18adad,run_v0_001,v0_baseline,DISCOUNT,0.15,True,5.55,"{""customer_id"": ""5"", ""product_id"": ""20754"", ""rfm_segment"": ""Low-Value / Lost"", ""overdue_ratio"": 6.0, ""inventory_level"": 188, ""gross_margin_pct"": 0.47}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 20754 replenishment is 500% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (32%) and inventory is above floor."
act_03d37809,run_v0_001,v0_baseline,NO_ACTION,0.0,False,2.1,"{""customer_id"": ""6"", ""product_id"": ""48679"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 3.08, ""inventory_level"": 338, ""gross_margin_pct"": 0.1}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.05)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_2081ab01,run_v0_001,v0_baseline,NO_ACTION,0.0,False,30.9,"{""customer_id"": ""7"", ""product_id"": ""13249"", ""rfm_segment"": ""High-Value At-Risk"", ""overdue_ratio"": 20.0, ""inventory_level"": 360, ""gross_margin_pct"": 0.27}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=0.12)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_e537cc43,run_v0_001,v0_baseline,DISCOUNT,0.15,True,7.35,"{""customer_id"": ""8"", ""product_id"": ""6473"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 5.53, ""inventory_level"": 335, ""gross_margin_pct"": 0.32}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 6473 replenishment is 453% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (17%) and inventory is above floor."
act_e840fef3,run_v0_001,v0_baseline,NO_ACTION,0.0,False,11.4,"{""customer_id"": ""9"", ""product_id"": ""33787"", ""rfm_segment"": ""Need Attention"", ""overdue_ratio"": 12.29, ""inventory_level"": 109, ""gross_margin_pct"": 0.14}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""FAIL (post_margin=-0.01)""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]",Action Suppressed. Failed constraints: ['margin_floor'].
act_66a732f3,run_v0_001,v0_baseline,DISCOUNT,0.15,True,21.45,"{""customer_id"": ""10"", ""product_id"": ""23165"", ""rfm_segment"": ""New / Promising"", ""overdue_ratio"": 9.88, ""inventory_level"": 120, ""gross_margin_pct"": 0.4}","[{""rule"": ""max_actions_per_user"", ""value"": 1, ""check"": ""PASS""}, {""rule"": ""inventory_floor"", ""value"": 50, ""check"": ""PASS""}, {""rule"": ""margin_floor"", ""value"": 0.15, ""check"": ""PASS""}, {""rule"": ""max_discount_pct"", ""value"": 0.15, ""check"": ""PASS""}]","Since your 23165 replenishment is 888% overdue, we are automatically offering a 15% discount. All constraints passed: margin is healthy (25%) and inventory is above floor."
