user_id,product_id,last_product_order_ts,last_purchase_days_ago,avg_replenishment_days,mock_inventory,overdue_ratio,R_score,F_score,M_score,rfm_segment,risk_id
27,33736,2023-03-17,289,4.5,138,64.22,3,5,5,Need Attention,job_e06ac3b9:27:33736
17,38444,2023-02-24,310,5.0,471,62.0,1,5,5,High-Value At-Risk,job_e06ac3b9:17:38444
21,38444,2023-03-18,288,5.0,471,57.6,3,5,4,Need Attention,job_e06ac3b9:21:38444
21,20272,2023-03-18,288,5.0,403,57.6,3,5,4,Need Attention,job_e06ac3b9:21:20272
21,36425,2023-03-26,280,5.0,315,56.0,3,5,4,Need Attention,job_e06ac3b9:21:36425
21,23504,2023-03-26,280,5.0,455,56.0,3,5,4,Need Attention,job_e06ac3b9:21:23504
21,12013,2023-03-18,288,6.0,310,48.0,3,5,4,Need Attention,job_e06ac3b9:21:12013
21,33065,2023-03-26,280,6.0,349,46.67,3,5,4,Need Attention,job_e06ac3b9:21:33065
17,17762,2023-05-12,233,5.0,439,46.6,1,5,5,High-Value At-Risk,job_e06ac3b9:17:17762
27,35633,2023-02-09,325,8.0,421,40.62,3,5,5,Need Attention,job_e06ac3b9:27:35633
63,42828,2022-12-10,386,10.0,68,38.6,3,5,5,Need Attention,job_e06ac3b9:63:42828
21,33754,2023-01-27,338,9.0,381,37.56,3,5,4,Need Attention,job_e06ac3b9:21:33754
21,43154,2022-12-30,366,10.0,385,36.6,3,5,4,Need Attention,job_e06ac3b9:21:43154
21,16464,2023-01-06,359,10.0,61,35.9,3,5,4,Need Attention,job_e06ac3b9:21:16464
27,41063,2023-01-19,346,10.0,83,34.6,3,5,5,Need Attention,job_e06ac3b9:27:41063
27,47491,2023-01-27,338,10.0,424,33.8,3,5,5,Need Attention,job_e06ac3b9:27:47491
21,30425,2023-01-27,338,10.0,143,33.8,3,5,4,Need Attention,job_e06ac3b9:21:30425
63,23291,2023-04-18,257,8.0,344,32.12,3,5,5,Need Attention,job_e06ac3b9:63:23291
54,11005,2023-01-13,352,11.0,281,32.0,4,5,5,Champion / Loyal,job_e06ac3b9:54:11005
49,2966,2023-04-19,256,8.0,205,32.0,1,3,2,Average Purchaser,job_e06ac3b9:49:2966
36,46088,2023-01-08,357,11.5,79,31.04,2,5,4,High-Value At-Risk,job_e06ac3b9:36:46088
63,45681,2023-01-01,364,12.0,351,30.33,3,5,5,Need Attention,job_e06ac3b9:63:45681
21,12129,2023-01-27,338,11.5,491,29.39,3,5,4,Need Attention,job_e06ac3b9:21:12129
21,41131,2023-01-27,338,11.5,151,29.39,3,5,4,Need Attention,job_e06ac3b9:21:41131
63,42701,2023-02-14,320,11.0,269,29.09,3,5,5,Need Attention,job_e06ac3b9:63:42701
21,46388,2023-03-20,286,10.0,296,28.6,3,5,4,Need Attention,job_e06ac3b9:21:46388
21,43645,2023-01-27,338,12.0,119,28.17,3,5,4,Need Attention,job_e06ac3b9:21:43645
27,24721,2023-06-17,197,7.0,292,28.14,3,5,5,Need Attention,job_e06ac3b9:27:24721
63,41950,2022-12-21,375,13.5,369,27.78,3,5,5,Need Attention,job_e06ac3b9:63:41950
27,34137,2023-03-29,277,10.0,462,27.7,3,5,5,Need Attention,job_e06ac3b9:27:34137
27,36205,2023-03-29,277,10.0,268,27.7,3,5,5,Need Attention,job_e06ac3b9:27:36205
27,24035,2023-03-29,277,10.0,102,27.7,3,5,5,Need Attention,job_e06ac3b9:27:24035
2,46676,2023-06-23,191,7.0,116,27.29,5,4,4,Champion / Loyal,job_e06ac3b9:2:46676
2,4957,2023-06-23,191,7.0,157,27.29,5,4,4,Champion / Loyal,job_e06ac3b9:2:4957
27,32478,2023-01-15,350,13.0,310,26.92,3,5,5,Need Attention,job_e06ac3b9:27:32478
63,36550,2023-02-14,320,12.0,471,26.67,3,5,5,Need Attention,job_e06ac3b9:63:36550
63,39877,2023-06-17,197,7.5,486,26.27,3,5,5,Need Attention,job_e06ac3b9:63:39877
21,29095,2023-03-20,286,11.0,156,26.0,3,5,4,Need Attention,job_e06ac3b9:21:29095
50,18140,2023-01-02,363,14.0,358,25.93,5,5,5,Champion / Loyal,job_e06ac3b9:50:18140
27,47920,2023-01-14,351,14.0,144,25.07,3,5,5,Need Attention,job_e06ac3b9:27:47920
21,16139,2023-03-18,288,11.5,366,25.04,3,5,4,Need Attention,job_e06ac3b9:21:16139
27,33929,2023-02-09,325,13.0,107,25.0,3,5,5,Need Attention,job_e06ac3b9:27:33929
14,4210,2023-07-09,175,7.0,443,25.0,2,4,4,High-Value At-Risk,job_e06ac3b9:14:4210
27,36183,2023-01-18,347,14.0,208,24.79,3,5,5,Need Attention,job_e06ac3b9:27:36183
27,23291,2023-06-17,197,8.0,344,24.62,3,5,5,Need Attention,job_e06ac3b9:27:23291
17,21553,2023-04-07,268,11.0,183,24.36,1,5,5,High-Value At-Risk,job_e06ac3b9:17:21553
21,15720,2023-03-26,280,11.5,109,24.35,3,5,4,Need Attention,job_e06ac3b9:21:15720
27,93,2023-01-05,360,15.0,215,24.0,3,5,5,Need Attention,job_e06ac3b9:27:93
63,34768,2023-02-23,311,13.0,497,23.92,3,5,5,Need Attention,job_e06ac3b9:63:34768
21,11187,2023-01-31,334,14.0,388,23.86,3,5,4,Need Attention,job_e06ac3b9:21:11187
63,42063,2023-02-02,332,14.0,87,23.71,3,5,5,Need Attention,job_e06ac3b9:63:42063
63,39279,2023-02-02,332,14.0,63,23.71,3,5,5,Need Attention,job_e06ac3b9:63:39279
21,43352,2023-06-25,189,8.0,462,23.62,3,5,4,Need Attention,job_e06ac3b9:21:43352
50,46069,2023-03-23,283,12.0,364,23.58,5,5,5,Champion / Loyal,job_e06ac3b9:50:46069
63,20738,2023-01-25,340,14.5,393,23.45,3,5,5,Need Attention,job_e06ac3b9:63:20738
36,7673,2023-02-10,324,14.0,230,23.14,2,5,4,High-Value At-Risk,job_e06ac3b9:36:7673
17,9634,2023-01-18,347,15.0,479,23.13,1,5,5,High-Value At-Risk,job_e06ac3b9:17:9634
38,19816,2023-04-22,253,11.0,335,23.0,4,3,4,Average Purchaser,job_e06ac3b9:38:19816
63,40691,2023-03-10,296,13.0,148,22.77,3,5,5,Need Attention,job_e06ac3b9:63:40691
35,38596,2023-04-28,247,11.0,104,22.45,1,3,4,High-Value At-Risk,job_e06ac3b9:35:38596
21,12615,2023-01-31,334,15.0,495,22.27,3,5,4,Need Attention,job_e06ac3b9:21:12615
50,14086,2023-02-23,311,14.0,62,22.21,5,5,5,Champion / Loyal,job_e06ac3b9:50:14086
14,34234,2023-04-10,265,12.0,407,22.08,2,4,4,High-Value At-Risk,job_e06ac3b9:14:34234
63,25305,2022-12-21,375,17.0,295,22.06,3,5,5,Need Attention,job_e06ac3b9:63:25305
54,17638,2023-06-16,198,9.0,247,22.0,4,5,5,Champion / Loyal,job_e06ac3b9:54:17638
37,38693,2023-02-07,327,15.0,101,21.8,4,4,4,Champion / Loyal,job_e06ac3b9:37:38693
27,42987,2022-12-18,378,17.5,480,21.6,3,5,5,Need Attention,job_e06ac3b9:27:42987
14,40348,2023-05-10,235,11.0,285,21.36,2,4,4,High-Value At-Risk,job_e06ac3b9:14:40348
59,36039,2023-06-01,213,10.0,110,21.3,1,3,3,Average Purchaser,job_e06ac3b9:59:36039
27,20947,2023-03-08,298,14.0,408,21.29,3,5,5,Need Attention,job_e06ac3b9:27:20947
27,44786,2023-01-05,360,17.0,99,21.18,3,5,5,Need Attention,job_e06ac3b9:27:44786
46,41844,2022-12-16,380,18.0,287,21.11,1,4,4,High-Value At-Risk,job_e06ac3b9:46:41844
43,27086,2023-06-26,188,9.0,288,20.89,1,3,4,High-Value At-Risk,job_e06ac3b9:43:27086
50,14651,2023-02-23,311,15.0,181,20.73,5,5,5,Champion / Loyal,job_e06ac3b9:50:14651
37,10322,2023-03-17,289,14.0,128,20.64,4,4,4,Champion / Loyal,job_e06ac3b9:37:10322
27,32792,2023-01-05,360,17.5,144,20.57,3,5,5,Need Attention,job_e06ac3b9:27:32792
14,7877,2023-03-19,287,14.0,276,20.5,2,4,4,High-Value At-Risk,job_e06ac3b9:14:7877
37,19057,2023-02-27,307,15.0,293,20.47,4,4,4,Champion / Loyal,job_e06ac3b9:37:19057
63,27554,2023-03-10,296,14.5,402,20.41,3,5,5,Need Attention,job_e06ac3b9:63:27554
63,18095,2023-03-10,296,14.5,489,20.41,3,5,5,Need Attention,job_e06ac3b9:63:18095
2,38656,2023-06-10,204,10.0,478,20.4,5,4,4,Champion / Loyal,job_e06ac3b9:2:38656
2,5322,2023-06-10,204,10.0,221,20.4,5,4,4,Champion / Loyal,job_e06ac3b9:2:5322
2,17224,2023-06-10,204,10.0,414,20.4,5,4,4,Champion / Loyal,job_e06ac3b9:2:17224
54,22713,2022-12-10,386,19.0,194,20.32,4,5,5,Champion / Loyal,job_e06ac3b9:54:22713
22,44359,2023-05-04,241,12.0,452,20.08,1,4,3,High-Value At-Risk,job_e06ac3b9:22:44359
7,13249,2023-04-15,260,13.0,360,20.0,1,4,4,High-Value At-Risk,job_e06ac3b9:7:13249
37,2314,2023-05-25,220,11.0,237,20.0,4,4,4,Champion / Loyal,job_e06ac3b9:37:2314
7,42828,2023-06-14,200,10.0,68,20.0,1,4,4,High-Value At-Risk,job_e06ac3b9:7:42828
37,46969,2023-03-27,279,14.0,115,19.93,4,4,4,Champion / Loyal,job_e06ac3b9:37:46969
37,49235,2023-05-06,239,12.0,416,19.92,4,4,4,Champion / Loyal,job_e06ac3b9:37:49235
54,28851,2023-05-07,238,12.0,175,19.83,4,5,5,Champion / Loyal,job_e06ac3b9:54:28851
37,47766,2023-02-27,307,15.5,124,19.81,4,4,4,Champion / Loyal,job_e06ac3b9:37:47766
14,5782,2023-05-10,235,12.0,483,19.58,2,4,4,High-Value At-Risk,job_e06ac3b9:14:5782
37,27086,2023-07-08,176,9.0,288,19.56,4,4,4,Champion / Loyal,job_e06ac3b9:37:27086
50,48857,2023-03-23,283,14.5,93,19.52,5,5,5,Champion / Loyal,job_e06ac3b9:50:48857
62,43352,2023-07-28,156,8.0,462,19.5,3,3,3,Need Attention,job_e06ac3b9:62:43352
